time x y z T0
345600.0000000000 -1132915.7452668380 6092528.5036451109 1504631.7641727834 11.6131439027
345630.0000000000 -1132915.8323178117 6092529.4184870441 1504633.3072792448 2.8337944061
345660.0000000000 -1132915.6148669263 6092528.8974383390 1504632.1852308656 4.9686405843
345690.0000000000 -1132914.7966595939 6092527.5261871982 1504631.9343259686 18.5149363874
345720.0000000000 -1132914.4261637251 6092526.9163568821 1504632.8742397637 19.6262932043
345750.0000000000 -1132915.0025460033 6092528.3053709632 1504632.2485231196 10.4526963512
345780.0000000000 -1132915.2243103518 6092528.9833707679 1504632.4585680652 9.1288590341
345810.0000000000 -1132914.5096570756 6092528.3661993938 1504632.6629505982 10.1298374290
345840.0000000000 -1132914.8535664009 6092527.9385192636 1504631.4162202221 16.4438829831
345870.0000000000 -1132915.4888038742 6092530.1550142746 1504632.1277512496 19.0320508981
345900.0000000000 -1132915.2056551471 6092528.3991258880 1504632.4282357814 2.6701224977
345930.0000000000 -1132915.3176461568 6092528.5204047542 1504632.4202481033 4.3250821039
345960.0000000000 -1132914.7499984007 6092528.4581190152 1504632.9963516863 3.9294405826
345990.0000000000 -1132914.2516419743 6092528.1609910736 1504633.1012536099 4.6868102252
346020.0000000000 -1132915.0891526204 6092528.4081613971 1504632.5206928600 7.3164115156
346050.0000000000 -1132915.3984167990 6092529.4540925128 1504632.1985861782 9.8971957181
346080.0000000000 -1132914.8521888596 6092527.3486697255 1504631.0858973658 18.0547625661
346110.0000000000 -1132915.0229613159 6092527.0835703071 1504631.8409725339 6.6707260266
346140.0000000000 -1132915.0419419571 6092528.7647760343 1504632.7614775288 11.0600469579
346170.0000000000 -1132915.6050396475 6092527.3062701598 1504632.2482005595 7.9289077446
346200.0000000000 -1132914.7688005217 6092529.1841681981 1504632.8854151384 6.2465741315
346230.0000000000 -1132915.1395582249 6092529.7624292728 1504632.3617228144 7.1871214025
346260.0000000000 -1132916.0496325269 6092527.0273803854 1504630.6850565262 22.2668646328
346290.0000000000 -1132915.9541981514 6092528.8430354949 1504631.6864283374 12.7152218359
346320.0000000000 -1132914.5951347435 6092526.7520114211 1504632.0192636705 6.2337460686
346350.0000000000 -1132914.1425564094 6092525.7869772464 1504631.9593175219 51.6015173745
346380.0000000000 -1132915.6388538359 6092524.9420392085 1504631.0260513069 18.9512940062
346410.0000000000 -1132914.4362810121 6092527.6494094981 1504632.0217372631 16.6777306777
346440.0000000000 -1132915.0885972285 6092525.9121620292 1504631.6454251534 13.3234116066
346470.0000000000 -1132914.1394723139 6092524.2829081379 1504631.4184779371 63.2774166005
346500.0000000000 -1132915.4449792698 6092527.7613638369 1504632.8737359492 9.8986188542
346530.0000000000 -1132914.3789030740 6092525.1050499957 1504631.9528870096 36.2476249057
346560.0000000000 -1132915.6539048611 6092526.9175081970 1504631.7067549049 65.7559452122
346590.0000000000 -1132915.1545508290 6092523.8201396158 1504631.5973481678 47.1469881805
346620.0000000000 -1132915.0674332606 6092523.8494843002 1504631.0390593684 183.8941750170
346650.0000000000 -1132915.3290470825 6092525.6380997067 1504632.1456119814 58.7970080209
346680.0000000000 -1132913.9170291014 6092524.9462936055 1504631.6880875877 195.9745033328
346710.0000000000 -1132915.0293563216 6092526.5889769327 1504631.2827474629 247.5657023773
346740.0000000000 -1132915.9956059842 6092525.2635943480 1504631.7452389351 173.2691004148
346770.0000000000 -1132915.2632853403 6092524.5797014311 1504631.4247432332 196.4524179990
346800.0000000000 -1132914.5339620074 6092524.3592679044 1504631.4585299783 174.4247297839
346830.0000000000 -1132915.3248455571 6092524.9300329993 1504631.0316809106 157.6085372297
346860.0000000000 -1132914.6220543114 6092523.9661787935 1504631.3225413340 222.9121434845
346890.0000000000 -1132915.3893162003 6092525.0374095570 1504630.3273894088 255.2853129271
346920.0000000000 -1132914.5105577926 6092521.6541224979 1504630.2346030464 488.4039954494
346950.0000000000 -1132914.6039727735 6092522.6946714101 1504630.0485742174 406.3661053415
346980.0000000000 -1132914.6699856948 6092521.5170182548 1504629.7972979185 459.5948331151
347010.0000000000 -1132914.5384093404 6092520.8987562433 1504628.7397295458 458.0161552128
347040.0000000000 -1132915.2054083818 6092521.4159309966 1504629.9532257766 773.2442118253
347070.0000000000 -1132915.8586817121 6092521.4202728029 1504629.3591562377 909.5246261433
347100.0000000000 -1132914.5448692492 6092520.4109673379 1504629.7146029640 689.1968417193
347130.0000000000 -1132915.1816659530 6092520.1312130978 1504630.3383078731 755.6085614874
347160.0000000000 -1132916.2845569430 6092521.8490789775 1504629.4499230275 922.3775806216
347190.0000000000 -1132915.1970777693 6092519.3415234536 1504629.3157383355 1433.2093828690
347220.0000000000 -1132915.1011447711 6092518.3579744333 1504629.2026248726 1330.8564043154
347250.0000000000 -1132914.7706344852 6092521.1469686795 1504629.7674910647 1633.1547759644
347280.0000000000 -1132914.9481538010 6092517.8662727205 1504628.8206904705 1647.8702939836
