# IRNSS Self-Consistency Check Report
# Satellite: I02
# Reference Time (toe): 0060676 336.000000000000000 GPS
# Interval: 300.000000 s
# Window: ±30.000000 min
# Columns: time, x(m), y(m), z(m), radius(m), dr_prev(km)
0060676 -1464.000000000000000 GPS, 21754648.067597, 29942488.328274, -20177342.629430, 42153795.504310, 0.000000
0060676 -1164.000000000000000 GPS, 21644302.775797, 29977616.882049, -20247299.471841, 42155503.703309, 135.292492
0060676 -864.000000000000000 GPS, 21535593.342785, 30017529.368812, -20307559.726957, 42157215.658736, 130.545187
0060676 -564.000000000000000 GPS, 21428728.764212, 30062151.358834, -20358095.730256, 42158930.519333, 126.352870
0060676 -264.000000000000000 GPS, 21323914.568129, 30111399.359128, -20398884.481552, 42160647.432949, 122.780713
0060676 36.000000000000000 GPS, 21221352.602376, 30165181.616202, -20429907.697487, 42162366.118859, 119.891317
0060676 336.000000000000000 GPS, 21121239.844339, 30223395.437243, -20451151.685634, 42164084.356082, 117.740054
0060676 636.000000000000000 GPS, 21023769.338492, 30285932.102022, -20462607.482960, 42165802.085199, 116.372545
0060676 936.000000000000000 GPS, 20929128.897657, 30352674.814906, -20464270.420458, 42167519.119292, 115.819550
0060676 1236.000000000000000 GPS, 20837501.148440, 30423495.395840, -20456141.598524, 42169233.515809, 116.091674
0060676 1536.000000000000000 GPS, 20749062.660646, 30498260.848013, -20438225.805354, 42170944.856850, 117.184532
0060676 1836.000000000000000 GPS, 20663983.786252, 30576830.093856, -20410532.706511, 42172652.393116, 119.073292
0060676 2136.000000000000000 GPS, 20582429.526382, 30659053.478699, -20373076.935471, 42174355.113467, 121.715722
