time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132914.7636199107 6092527.5760446349 1504632.7372885572 0.9153858637 11.3140434823 0.1858476523 0.3021401034 0.9715471715 1.1107999974 -1.1083210019 -0.3095081595 -0.8449894092 -0.1144761932 -0.5266368462 0.2912810979 0.5615075905 0.0000000000 -0.5350583352 0.0000000000 0.0000000000 
345630.0000000000 -1132915.2697227730 6092528.9099527532 1504633.8502075979 0.4817523422 11.3140434823 0.2582116088 -0.0046176712 0.4447312390 0.6488592992 -0.6422228759 0.0580014857 -0.3350092083 -0.4396335264 -0.7271834573 0.4552514095 0.4964262708 -0.0000000000 -0.1944873312 0.0000000000 0.0000000000 
345660.0000000000 -1132916.0657051934 6092529.5749225477 1504632.9853132137 0.1716007995 11.3140434823 0.2543644815 0.1861970799 -0.7389829676 0.0718819889 -1.0672782974 0.4750481998 0.3272148002 0.1700459927 -1.2182829683 0.6932781644 2.0423487655 0.0000000000 -0.8678209825 0.0000000000 0.0000000000 
345690.0000000000 -1132913.6237478626 6092528.2756242482 1504633.1225159545 1.2399305686 11.1654816136 -0.5423366288 0.8881716113 -1.1200841414 1.1435818735 -0.4386785611 0.0000000000 -0.6350913396 -0.2983428998 0.6526729719 -0.5275351272 0.7752496440 -0.0000000000 0.3029930955 0.0000000000 0.0000000000 
345720.0000000000 -1132913.5023694667 6092526.8151525371 1504634.5635415958 0.7899067294 11.3140434823 -0.5209976357 0.5953747616 -0.1314716708 0.9133541319 -1.1712826199 2.8251533764 -0.9698083099 0.8427753033 -1.5200925539 0.4008819598 -0.3172487747 0.0000000000 -0.7575632301 0.0000000000 0.0000000000 
345750.0000000000 -1132914.0043446284 6092528.5661824895 1504632.8368597047 0.4225719858 11.3140434823 -0.9977439116 0.8829535941 0.6063052505 0.7969983301 0.9194015182 2.1191756486 -0.2786991797 -0.6394319315 -0.1767621294 -0.4418732571 -2.6652880908 0.0000000000 -0.3304199450 0.0000000000 0.0000000000 
345780.0000000000 -1132914.0429151999 6092528.6742427247 1504632.7919382898 0.7532227227 11.1654816136 0.0183089298 0.5675292428 0.9976929377 -0.3589676480 0.1093458349 -2.0241843923 -0.6762125821 0.1435329246 1.5991834994 0.0000000000 -0.2214997330 -0.0000000000 -0.3543765957 0.0000000000 0.0000000000 
345810.0000000000 -1132913.7682731966 6092527.9814465325 1504633.6694569443 0.3106810919 11.3140434823 -1.1593451825 0.4680839352 1.9593024389 0.9519002034 -0.2476976228 0.0294126595 -0.1207297241 0.3284103887 0.4808036340 -0.0640953321 -1.4506942850 0.0000000000 -1.4244840749 0.0000000000 0.0000000000 
345840.0000000000 -1132913.9962827114 6092529.1974880546 1504633.0533601209 0.8313806669 11.3140434823 -1.2299485293 0.9041428322 -0.5679250761 -0.0960910633 -0.1731396108 1.9222530599 -0.2707272307 1.0832137504 0.1636217946 0.1008029508 -0.7544764952 0.0000000000 -0.9231085862 0.0000000000 0.0000000000 
345870.0000000000 -1132914.2841481301 6092530.9154847711 1504632.6432781292 1.7031112023 11.3140434823 0.0547469635 0.5754267224 -0.1937583458 -0.9140830396 0.9096157881 0.5086911904 0.2329783415 0.3557313768 0.2123243471 -0.5695330686 -0.9135444828 0.0000000000 -0.3254061096 0.0000000000 0.0000000000 
345900.0000000000 -1132914.6386900118 6092528.9114933508 1504633.5701271771 0.3717008527 11.3140434823 -0.7210339044 0.5292335197 -0.3260491855 0.4514548774 -0.6695679584 0.3918268653 -0.3633677483 0.5365011475 0.2974752931 0.1361117621 0.3860925894 0.0000000000 -0.4913604444 0.0000000000 0.0000000000 
