time x y z T0 thrd C21 C24 C25 C26 C33 C34 C38 C39 C40 C42 C43 C59 C60 C23 C41 
345600.0000000000 -1132915.3874816927 6092527.4883646294 1504632.6037616283 0.0867324205 21.6659943335 0.8973334770 0.4238416806 0.8691545605 1.4598055425 -1.3402671001 -0.0861497787 -0.4130933692 0.0048600661 0.0161424517 0.5707753937 0.2759597164 -2.0784660130 -0.5866244538 0.0000000000 0.0000000000 
345630.0000000000 -1132915.7223577662 6092528.8492198950 1504633.7539151472 0.0134641567 21.6659943335 0.7739011086 0.0843162601 0.3694586339 0.9017050885 -0.8104856441 0.2200536259 -0.0216066008 -0.3529310841 -0.3345549205 0.6593087813 0.2891296869 -1.5080151981 -0.2311800403 0.0000000000 0.0000000000 
345660.0000000000 -1132916.3358882687 6092529.5403966736 1504632.9281868148 0.1991413738 21.6659943335 0.5618653674 0.2396631914 -0.7844951650 0.2225782888 -1.1676984270 0.5717678628 0.5143147737 0.2218683531 -0.9846252876 0.8158430169 1.9185330443 -0.9001300799 -0.8892934267 0.0000000000 0.0000000000 
345690.0000000000 -1132914.3423279270 6092528.1083581708 1504632.8972093044 0.0158186536 20.0902350297 0.3234343894 1.0182962745 -1.1745979947 1.5346907712 -0.7086128244 0.0000000000 -0.1221240717 -0.1860349857 1.3835676622 -0.2179981144 0.5270300878 -2.4074586947 0.2506461381 0.0000000000 0.0000000000 
345720.0000000000 -1132914.0822604373 6092526.7484982461 1504634.4424554461 0.1617380984 21.6659943335 0.1375505217 0.7117699020 -0.2316146450 1.2357468659 -1.3867069959 3.0326292335 -0.5681323742 0.9542799005 -1.0216560398 0.6672100104 -0.5833678343 -1.9316753673 -0.8018063504 0.0000000000 0.0000000000 
345750.0000000000 -1132914.4285803351 6092528.5201572385 1504632.7488381930 0.0329732362 21.6659943335 -0.5165137242 0.9687088249 0.5321551678 1.0324506329 0.7618518387 2.2708956406 0.0151935459 -0.5577614463 0.1867543430 -0.2458368669 -2.8601267757 -1.4130099118 -0.3621140982 0.0000000000 0.0000000000 
345780.0000000000 -1132914.6337890157 6092528.6325691110 1504632.7204769508 0.0355861023 20.0902350297 0.6997519027 0.7226398937 0.8833820058 0.0195772696 -0.0564300382 -1.8452559488 -0.2479412454 0.3127896244 2.0754980904 0.0000000000 -0.5039379663 -1.8693842898 -0.3747218206 0.0000000000 0.0000000000 
345810.0000000000 -1132914.1322259919 6092527.9466810776 1504633.5949171614 0.5285687021 21.6659943335 -0.7474794112 0.5426929167 1.8941879769 1.1531676504 -0.3827535493 0.1594222370 0.1314569828 0.3986309988 0.7907128168 0.1061400114 -1.6181320071 -1.2118444330 -1.4505208313 0.0000000000 0.0000000000 
345840.0000000000 -1132914.5918388518 6092529.1444783742 1504632.9321908951 0.2337178862 21.6659943335 -0.5568276586 1.0270818797 -0.6756867268 0.2326282251 -0.3940360663 2.1348372500 0.1419794988 1.1982375995 0.6691324788 0.3810506290 -1.0287190488 -1.9826003664 -0.9647727088 0.0000000000 0.0000000000 
345870.0000000000 -1132915.1368345472 6092530.8451573253 1504632.4709535541 0.0369519796 21.6659943335 1.0172562696 0.7526680319 -0.3497621486 -0.4443625238 0.5935137477 0.8128019180 0.8239232780 0.5205792396 0.9337710877 -0.1658778012 -1.3065744237 -2.8379297401 -0.3837118151 0.0000000000 0.0000000000 
345900.0000000000 -1132915.0371851260 6092528.8812351543 1504633.4901372623 0.0673036621 21.6659943335 -0.2718039400 0.6126376253 -0.3997499360 0.6705294095 -0.8172100573 0.5338165439 -0.0871732469 0.6136129648 0.6335490971 0.3258830518 0.2022256379 -1.3259297110 -0.5179810429 0.0000000000 0.0000000000 
345930.0000000000 -1132915.1587550349 6092529.1205395367 1504633.3946824416 0.1871414774 21.6659943335 -0.2640898075 0.7671044038 -0.1094952268 0.1904132825 -0.2633401267 1.6877256027 0.0844136213 0.8878395780 0.1223478150 0.1188824315 -0.9658758471 -1.3140931279 -0.8639513451 0.0000000000 0.0000000000 
