# Format: system, freq_num, theoretical_epochs, actual_epochs, rate_percent
# freq_num: RINEX 观测码第二个字符代表的频点号
C,1,2880,28020,972.92
C,2,2880,68863,2391.08
C,5,2880,29987,1041.22
C,6,2880,70951,2463.58
C,7,2880,73449,2550.31
C,8,2880,29203,1013.99
E,1,2880,23849,828.09
E,5,2880,24662,856.32
E,6,2880,24083,836.22
E,7,2880,24597,854.06
E,8,2880,24671,856.63
G,1,2880,24132,837.92
G,2,2880,24573,853.23
G,5,2880,14188,492.64
I,5,2880,6372,221.25
J,1,2880,10370,360.07
J,2,2880,10389,360.73
J,5,2880,10444,362.64
R,1,2880,19354,672.01
R,2,2880,16178,561.74
R,3,2880,7371,255.94
S,1,2880,20147,699.55
S,5,2880,8640,300.00
